Business Name,Phone,Website,Address,Status,Search Term,Search State(s),Timestamp
Eye Center South,(334) 222-7281,https://www.eyecentersouth.net/locations/andalusia-al/?utm_source=organic&utm_medium=GBP&utm_campaign=HealthBright,"16685 US-84, Andalusia, AL 36421, United States",New,surgery center,Alabama,2025-05-20 09:37:55
South Central Medical Center,(334) 222-8525,,"843 S 3 Notch St, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:55
Andalusia Women's Services + Family Health,(334) 222-1022,https://www.andalusiamedicalgroup.com/andalusia-womens-clinic,"109 Medical Park Dr # B, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:55
Dermatology Specialists of Alabama - Andalusia,(334) 504-6011,https://mydermspecialists.com/locations/alabama/andalusia/,"822B S 3 Notch St, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:56
"Dr. Grover A. Wells III, MD",(334) 222-4191,,"820 S 3 Notch St A, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:56
Andalusia Urology,(334) 222-2393,https://www.andalusiamedicalgroup.com/our-practices/andalusia-urology,"300 Medical Ave. Suite 100, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:56
Ascension Sacred Heart Cancer Care at Andalusia,(334) 222-2562,,"104 Medical Park Dr, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:56
Wells III Ashton MD,(334) 222-4191,,"820 S 3 Notch St, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:56
Andalusia Health Open MRI,(334) 222-8466,http://andalusiahealth.com/,"1823 E 3 Notch St, Andalusia, AL 36421, United States",New,surgery center,Alabama,2025-05-20 09:37:56
Andalusia Medical Group,(334) 222-2073,https://www.andalusiamedicalgroup.com/andalusia-orthopedics-sports-medicine,"301 Medical Park Dr, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:57
Clearway Pain Solutions - Andalusia,(855) 527-7246,https://clearwaypain.com/locations/andalusia/,"135 Medical Park Dr Suite 2B, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:57
"Southern Bone & Joint Specialists, Andalusia, Alabama",(334) 308-9797,http://www.southernbone.com/,"512 E 3 Notch St, Andalusia, AL 36420, United States",New,surgery center,Alabama,2025-05-20 09:37:57
Northeast Alabama Surgical Associates,(256) 237-1624,http://surgicalclinic.net/,"171 Town Center Dr, Anniston, AL 36205, United States",New,surgery center,Alabama,2025-05-20 09:37:58
Regional Medical Center,(256) 235-5121,https://rmccares.org/locations/rmc-anniston/?utm_source=gmb&utm_medium=organic,"400 E 10th St, Anniston, AL 36207, United States",New,surgery center,Alabama,2025-05-20 09:37:58
RMC Stringfellow Campus,(256) 235-8900,https://rmccares.org/locations/stringfellow-memorial-hospital/?utm_source=gmb&utm_medium=organic,"301 E 18th St, Anniston, AL 36207, United States",New,surgery center,Alabama,2025-05-20 09:37:58
Anniston Oral Facial Surgery,(256) 236-6090,https://www.communityofs.com/locations/anniston-al-office/,"901 Leighton Ave #401, Anniston, AL 36207, United States",New,surgery center,Alabama,2025-05-20 09:37:59
Urquhart Plastic Surgery,(256) 237-1625,http://www.urquhartplasticsurgery.com/,"171 Town Center Dr, Anniston, AL 36205, United States",New,surgery center,Alabama,2025-05-20 09:37:59
Johnson Roderick G,(256) 237-1624,http://surgicalclinic.net/,"901 Leighton Ave Suite 702, Anniston, AL 36207, United States",New,surgery center,Alabama,2025-05-20 09:37:59
Anniston General Surgery Center,(256) 240-9660,,"1901 Leighton Ave, Anniston, AL 36207, United States",New,surgery center,Alabama,2025-05-20 09:37:59
Angel Dental Care,,https://angel-dentalcare.com/akron-contact/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"1494 S Arlington St, Akron, OH 44306, United States",New,dentists,Ohio,2025-05-20 12:42:57
DellaGatta Dental,(330) 821-3732,,"888 S Sawburg Ave, Alliance, OH 44601, United States",New,dentists,Ohio,2025-05-20 12:43:03
Shealy Stephanie P DDS,(330) 821-7244,,"800 S Sawburg Ave, Alliance, OH 44601, United States",New,dentists,Ohio,2025-05-20 12:43:05
"Dr. Benjamin M. Utterback, DDS",(330) 821-6603,,"1360 S Sawburg Ave, Alliance, OH 44601, United States",New,dentists,Ohio,2025-05-20 12:43:05
"Dr. Timothy J. Yannone, DDS",(330) 823-5294,,"2720 S Union Ave, Alliance, OH 44601, United States",New,dentists,Ohio,2025-05-20 12:43:06
Musengo Michael A DDS,(440) 988-4520,,"221 Church St, Amherst, OH 44001, United States",New,dentists,Ohio,2025-05-20 12:43:11
Lorain Family Dental,(440) 434-2990,,"4560 Oberlin Ave, Lorain, OH 44053, United States",New,dentists,Ohio,2025-05-20 12:43:14
"Dr. Bradford R. Hendrickson, DDS",(419) 281-2323,,"910 Katherine Ave ste b, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:18
Ashland Family Dental: Gerbasi Jennifer DDS,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:19
Ashland Family Dental,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:19
Hendrickson & Matz DDS,(419) 289-3325,,"910 Katherine Ave ste b, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:19
Mitchell B. Schwartz DMD,,,"1590 Crestview Dr #2, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:19
Ashland Family Dental: Snyder Nancy F DDS,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:20
Ashland Family Dental: Schlesinger Alan DDS,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:20
Castor Thomas R DDS,(419) 281-8011,,"535 Claremont Ave, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:20
Farrar Edwin L DDS,(419) 281-9019,,"1011 E Main St D, Ashland, OH 44805, United States",New,dentists,Ohio,2025-05-20 12:43:20
Dental Specialists-Ashtabula,(440) 992-8800,,"4430 Main Ave #1176, Ashtabula, OH 44004, United States",New,dentists,Ohio,2025-05-20 12:43:24
ARMC Health & Wellness Plaza,,https://www.acmchealth.org/services/family-health-centers/ashtabula-family-health-center/,"2255 Lake Ave, Ashtabula, OH 44004, United States",New,dentists,Ohio,2025-05-20 12:43:24
Coliadis Jason E DDS,(440) 992-3146,,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentists,Ohio,2025-05-20 12:43:25
